Artist;Titel;Anm;LP-nr;Pris
Styx;Pieces of eight;Namnad. konv skador;LP 0197;90
Supertramp;Live 88;NM;LP 0201;180
Survivor;When Seconds Count;NM/Mint;LP 0202;120
Suzanne Vega;Solitude standing;NM/Mint;LP 0203;90
Sweet;Strung up;VG;LP 0204;180
Temptations ;Back to basics;Fodral G/Skiva VG;LP 0206;50
Thank God It´s Friday;The original Motion Picture..;VG/G;LP 0207;150
Thompson Twins;Here´s to future days;G/VG;LP 0210;50
Tina Turner ;Break Every Rule;VG;LP 0211;50
Ultravox;The Collection;G-VG/VG-NM;LP 0216;90
Wet Wet Wet;Popped in Souled Out;Fodral G / skiva NM;LP 0222;50
Wham ;Make it big;VG/VG;LP 0223;90
Whitney Houston;Whitney Houston;VG/NM;LP 0224;180
Wings;Back to the egg;G;LP 0225;50
Yes;BIG Generator;VG ;LP 0226;120
Michael Bolton;Everybody´s crazy;VG/VG-NM;LP 0229;90
Michael Bolton;The Hunger;VG/VG;LP 0230;90
Michael Bolton;Soul provider;VG/VG-NM;LP 0231;90
Eagles;The long run;VG/VG-NM;LP 0232;120
Manfred Manns Earth Band;Angel station;VG/VG-NM;LP 0235;90
Deep Purple;Who do we think we are;VG/G-VG;LP 0240;190
Beatles;Yellow submarine;VG-NM/VG-NM;LP 0241;500
Andy Gibb;Shadow Dancing;G/VG;LP 0243;50
Guesch Patti & Encore;Nomades;VG/VG-NM;LP 0247;90
Partridge Family;The Partridge Family Notebook;G/VG;LP 0248;50
Paul Carrack;Groove Approved;G/G;LP 0249;50
Pointer Sisters;Serious slamming;VG;LP 0250;90
Pointer Sisters;So exdited;VG;LP 0251;90
Quincy Jones;Back on the Black;VG/VG;LP 0253;90
Santana;Borboletta;G/VG;LP 0257;50
Chicago;V;G/VG;LP 0258;90
Starbuck;ROCK’n ROLL ROCKET;VG/VG;LP 0259;90
Y&T ;Black Tiger;VG/VG-NM;LP 0026;150
Steve Winwood;Steve Winwood;VG/VG;LP 0260;120
Billy Joel;Glass Houses;VG/VG;LP 0262;90
Shakin’ Stevens;The early days;G(nytt innerkonvolut)/ VG;LP 0263;50
Uriah Heep;Firefly;G/G;LP 0264;180
Hollies;A Crazy Steal;VG/VG;LP 0266;90
Ringo Starr;Ringo;Poor/VG;LP 0267;50
Rita Coolidge;Inside the fire;VG/VG-NM;LP 0268;90
Genesis;A trick of the tail;NM/VG-NM, UK-print 1976;LP 0269;190
Dave Davies;Glamour;VG/VG;LP 0270;50
Joni Mitchell;Chalk mark in a rain storm;G/VG;LP 0271;50
Roxy Music;Avalon;VG/VG;LP 0272;50
Peter Frampton;Where I should be;Oöppnad;LP 0273;150
Pet Shop Boys;Disco;VG-NM/VG-NM;LP 0275;190
Beach boys;California Gold;VG/VG;LP 0276;180
Eurythmics;V 1984;VG-NM/VG-NM;LP 0277;180
