Artist;Titel;Anm;LP-nr;Pris
Eagles;Hotel California;VG-NM/VG-NM;LP 0766;150
John Cougar Mellencamp;Lonely ol´night;NM/VG-NM   12” single 45rpm;LP 0769;50
Walther Murphy;Phantom of the opera;NM/NM;LP 0770;90
Killing Joke;Sanity;NM/VG-NM    12” single 45rpm;LP 0772;90
Midnight Oil ;Red sails in the sunset;VG-NM/VG-NM;LP 0773;90
Gordon Lightfoot;Sundown;VG/VG-NM;LP 0774;90
Goanna ;Spirit of place;VG/VG;LP 0775;90
Josh Leo;Rockin´on 6 th;Unbroken seal;LP 0778;90
Rita Pavone;Rita Pavone;VG-NM/NM;LP 0779;90
Various artists;Kasenetz-Katz Singing Orchestral Circus;VG/VG-NM;LP 0780;150
Eric Clapton;Just one night;VG/VG;LP 0781;180
Tiger;Tiger;G/VG-NM;LP 0782;210
Transvision Vamp;Little Magnets vs the Bubble of Babble;VG/NM;LP 0783;120
Grace Jones ;Warm Leatherette;VG/VG-NM;LP 0785;120
Art Garfunkel;Breakaway;VG/NM;LP 0786;120
Salloom Sinclair …;and the Mother Bear;G/VG;LP 0787;120
Smokey Robinson and the miracles;Time out;VG/VG;LP 0788;150
Cars;The Cars;VG/VG;LP 0789;90
Van Morrison;Astral Weeks ;VG/VG;LP 0791;210
Ellen Foley;Spitit of St. Louis;VG/VG;LP 0792;50
Scritti Politti;Provision;VG-NM/NM;LP 0793;90
Julian Lennon;The Secret Value of Daydreaming;VG/VG;LP 0794;50
Dave Edmunds;Repeat When Necessary;VG/VG-NM;LP 0795;50
Shakin Stevens;Shaky;VG/VG;LP 0796;50
Ventures;GO with The Ventures;G-VG/VG;LP 0797;120
Yoko Ono;It´s alright;VG/VG-NM;LP 0799;120
Joan Baez;Live Europe 83;VG/VG-NM;LP 0800;90
Cat Stevens;The World of Cat Stevens;VG/VG-NM;LP 0802;50
Jackson 5;Skywriter;NM/NM;LP 0803;120
Joe Tex;Happy Soul;G-VG/VG;LP 0804;50
Checkmates;Love is all we have to give;VG-VG;LP 0805;90
Vinnie Vincent;Invasion;VG/VG;LP 0807;150
Twisted Sister;Stay Hungry;VG/VG-NM;LP 0808;150
Twisted Sister;Under the blade;VG/VG-NM;LP 0809;150
Ace Frehley;Frehley´s Comet;VG/VG-NM;LP 0813;120
Ted Nugent;Ted Nugent;VG/VG-NM;LP 0815;90
Ted Nugent;Penetrator;VG-NM/VG-NM;LP 0816;120
Ted Nugent;If you cant lick ém …;VG-/VG-NM;LP 0817;120
Titanic;Return of drakkar;VG/VG;LP 0821;150
Uriah Heep;Wonderworld;VG/VG-NM;LP 0823;120
Joy;24K;VG/VG;LP 0827;50
Mike and the Mechanics;Mike and the Mechanics;VG/VG;LP 0832;90
Wanted;Yass;G/VG;LP 0833;50
Lou Gramm;Ready or not;VG-NM/VG-NM;LP 0834;50
Guess Who;Rockin;G-VGVG-NM/;LP 0835;50
Cars;Candy-O;VG/VG-NM;LP 0837;150
Blood, Sweat & Tears;No Sweat;VG-NM/NM-MINT;LP 0841;50
Elton John;Breaking Hearts;VG/VG;LP 0842;50
Paul Young;No Parlez;VG/VG;LP 0843;50
Johnny Hates Jazz;Turn the tide;VG/VG;LP 0844;50
Long Ryders;Native Sons;VG/VG;LP 0845;50
Long Ryders;Two Fisted Tales;VG/VG;LP 0846;50
Billy Idol;Whiplash Smile;VG/VG;LP 0847;50
Dave Edmunds;DE7;VG/VG-NM;LP 0848;50
Rod Stewart;Body Wishes;VG/VG;LP 0849;50
Peter Frampton;The Art of Control;VG/VG;LP 0850;50
Wings;Venus and Mars;VG/VG;LP 0852;120
Tokens;Both sides now;G-VG/VG;LP 0854;50
Rod Stewart;Tonight Im yours;VG/VG;LP 0856;50
Marvin Gaye;Midnight Love;VG-NM/VG-NM;LP 0857;90
David Johansen;In style;VG-NM/NM;LP 0858;50
Johnny Cash;Johnny Cash/Lorena;VG/VG;LP 0859;50
TOTO;Hydra;VG/VG;LP 0860;90
Donovan;Donovan´s Greatest Hits ;VG-NM/NM;LP 0862;90
Little America;Fairground;VG/VG;LP 0863;50
Elvis Presley;20 Rock & Roll Hits;VG-NM/NM;LP 0864;120
Diana Ross and The Supremes ;& The Temptations, on Broadway;G-VG/VG;LP 0865;50
Bobby Vinton;Blue Velvet;VG/VG;LP 0866;90
Bread;Bread;VG/VG;LP 0867;50
Kirka;R.O.C.K.;VG/VG;LP 0868;280
Various Artists;Rock Guitar Greats;VG/VG;LP 0869;90
Various Artists;Johnny Rivers, Ricky Nelson, Randy Sparks;VG/VG;LP 0870;50
Cheap Trick;Lap of Luxury;VG/VG;LP 0871;50
Mink DeVille;Coup de Grace;VG/VG;LP 0872;50
Lou Reed;New York;VG/VG;LP 0873;210
Various artists;Preview;VG/VG;LP 0874;90
Lollipops;Lollipops;VG/VG;LP 0875;50
Elkie Brooks;Rich man´s woman;VG/VG;LP 0876;50
Middle of the Road;It’s the Middle of the Road;VG/VG;LP 0877;50
Brenda Lee;Brenda Lee;VG/VG;LP 0878;50
Rick Nelson;Yesterdays Pop Scene;VG/VG-NM;LP 0879;50
Bill Haley;Birth of Rock;VG/VG;LP 0880;50
Crowded House;Woodface;VG/VG;LP 0881;210
Heart;Bad Animals;VG/G;LP 0882;50
Beach Boys;Beach Boys;VG/NM;LP 0888;50
URTH;Overture from return of the jedi;Sealed  12”;LP 0890;50
Trevor Jones;The dark Crystal;Sealed  12”;LP 0891;900
Donna Summer;The Wanderer;Sealed  12”;LP 0893;180
Donna Summer;Donna Summer;Sealed  12”;LP 0894;180
Hooters;All you zombies;VG/VG;LP 0896;50
William Bootsy Collins;The one Giveth;NM/NM;LP 0897;90
Europe;Wings of tomorrow;G-VG/VG;LP 0898;120
U2;Wide awake in America;VG/VG-NM;LP 0901;90
U2;U2 Pride (In the name of love);VG/VG;LP 0902;90
Creedence Clearwater Revival;Live in Germany;VG/VG-NM;LP 0903;250
Beatles;HELP!;VG/NM (1st press);LP 0906;2500
Beatles;A Hard days night;VG/VG;LP 0907;900
Beatles;Sgt Peppers.. Picture disc;VG/VG;LP 0908;700
Scorpions;Love at first sting;VG/VG;LP 0911;150
Europe;Prisoners in Paradise;VG-NM/VG-NM;LP 0913;290
10 CC;Sheet Music;VG/NM;LP 0915;150
Slade;The amazing Kamikaze syndrome;VG/G-VG;LP 0917;90
TOTO;TOTO;VG/VG;LP 0918;120
WAS (NOT WAS);Tell me I´m Dreaming;Sealed  12”;LP 0920;120
Hollies;Live Hits;G-VG/VG-NM;LP 0921;50
Frank Zappa&The Mothers.. ;Unmitigated Audacity ;VG-NM/VG-NM;LP 0922;350
Frank Zappa&The Mothers.. ;Weasels ripped my flesh;VG-NM/VG-NM;LP 0923;250
Frank Zappa&The Mothers.. ;Burnt Weeny Sandwich;VG/VG-NM;LP 0924;350
Frank Zappa;As an am;NM/NM  ;LP 0926;700
Eric Clapton;Rainbow Concert;NM-Mint/NM-Mint;LP 0927;250
Al Stewart;Time passages;NM/NM;LP 0928;210
Chicago;Transit Authority;VG-NM/NM-Mint;LP 0930;210
Duan Allman;An anthology;VG-NM/NM;LP 0931;290
Camel;Camel;NM/NM;LP 0932;450
Elf;Elf;NM/NM;LP 0933;950
Kingdom Come;Journey;NM/NM;LP 0934;290
Manfred Manns Earth Band;The Roaring Silence;VG/VG;LP 0935;120
Manfred Mann;The Greatest Manfred Mann;VG/VG-NM;LP 0936;90
Searchers;The Searchers;VG-NM/VG-NM;LP 0937;180
Belt&Brace Roadshow band;Treasonous Thinking;VG/VG-NM;LP 0939;120
Fabulous Poodles;Think Pink;VG/VG;LP 0940;50
RitaMarley;Who feels it Knows it;VG-NM/VG-NM;LP 0942;50
Mungo Jerry;Mungo Jerry;VG/VG-NM;LP 0943;90
Chicago;Chicago;G-VG/VG-NM;LP 0944;150
David Bowie;Scary Monsters;NM/NM;LP 0946;490
Sweet;Fanny Adams;NM/NM;LP 0947;350
Ike & Tina Turner;Rock me baby;VG/VG;LP 0949;90
Jacksons;Triumph;VG/VG;LP 0951;50
Elvis Presley;Elvis Paradise, Hawaiian Style;VG/VG-NM;LP 0953;120
Katrina & the waves;Break of Hearts;VG/VG;LP 0955;50
Zager & Evans;2525;G/VG-NM;LP 0958;120
Clarence Clemons;Rescue;VG/VG-NM;LP 0959;90
Skin Games;The Blood Rush;VG/VG;LP 0960;90
China Crisis;Flaunt the Imperfektion;VG/VG;LP 0961;90
Boy meets girl;Reel life;VG/VG;LP 0962;90
Graphic;Way of the world;VG/G;LP 0963;50
Beds;Beds;VG/VG;LP 0964;50
Blue in Heaven;Explicit Material;G-VG/VG-NM;LP 0965;90
Trio;Trio;VG/VG;LP 0966;150
Adam and the ants;Kings of the wild frontier;G-VG/VG;LP 0969;50
Paul Kantner;Planet Earth;G/VG;LP 0970;50
Atlanta Rhythm Section;Campagne Jam;G-VG/VG;LP 0971;50
Japan ;Tin Drum;NM/NM;LP 0972;180
Donna Summer;Greatest Hits Volumes I&II;G-VG-VG;LP 0973;150
Bankstatement;Throwback;VG/VG 12#;LP 0975;50
Gasolin;Bob-Shi-Bam / Girl you got me lonely;VG/VG 12#;LP 0976;400
Chicago;Live;VG/VG-NM;LP 0977;600
Jimmy `Bo´ Horre;Best of ;VG/VG  Promo copy;LP 0978;120
Sade;Diamond life;VG/VG;LP 0979;90
Southside Johnny;Having a party with …;VG/VG;LP 0980;90
Bob Dylan;Shot of love;VG/G-VG;LP 0981;120
Allman Brothers Band;Brothers and Sisters;VG/VG;LP 0982;90
Saxon;Denim and Leather;VG/VG;LP 0983;90
Russell Dashiell;Elevator;VG/VG;LP 0984;50
Searchers;The Golden Hour of;G-VG/VG;LP 0985;120
Simple Minds;Sons and Fascination;VG-NM/VG-NM;LP 0986;90
George Benson;Inside love;Sealed 12”;LP 0987;50
Roxy Music;Stranded;VG/VG;LP 0988;120
Blondie;Atomic;VG/VG-NM   Maxi single 12”;LP 0990;90
Simon and Garfunkel;Los Grandes Exitos;VG/VG;LP 0991;120
Cutting Crew;Broadcast;NM/NM;LP 0994;150
Blue Yonder;Blue Yonder;VG/NM;LP 0995;90
Nancy Martinez;For tonight;VG-NM/NM   Maxi single 12”;LP 0996;50
Pavlovs Dog ;Pampered Menial;NM/NM;LP 0999;300
Wishbone Ash;Live Dates;NM/NM;LP 1000;300
UB40 CCCP;Live in Moscow;VG/VG;LP 1001;120
Electric Light Orchestra;Discovery;VG/VG;LP 1003;120
Nigel Olsson;Nigel Olsson;VG/VG;LP 1004;50
Aneka ;Japanese Boy;VG/VG;LP 1005;50
Gilbert O´Sullivan;A Stranger In My Own Back Yard;VG/VG;LLP1006;90
Gilbert O´Sullivan;I´m a writer, not a fighter;VG/VG;LLP1007;50
Low Profile Society;3D Concept part 3;VG/G-VG;LP 1008;150
Carl Hall;I just love making love;VG/VG;LP 1009;50
Danny Wilson;Meet Danny Wilson;VG/VG;LP 1010;90
Herbie Mann;Surprises;VG/NM;LP 1012;150
Focus;At the rainbow;VG-NM/NM;LP 1013;180
Focus;Mother Focus;NM/NM;LP 1014;150
O;Within Reach;G/VG;LP 1016;50
BigAudio Dynamite;C´mon every Beatbox;VG/VG    Maxi single 12”;LP 1017;50
Don Dixon;Most of the girls like to dance;VG/NM;LP 1018;90
Sigue Sigue Sputnik;Love Missile F1-11;VG/VG;LP 1019;150
;;;;
Patrick Moraz;Future Memories;VG/VG;LP 1020;120
Rod Stewart;The best of. Vol 2;VG/VG;LP 1021;50
Legion of Dynamic Diskord;Rebel rebel;G-G/VG;LP 1022;90
Louise Goffin;This is the place;VG-VG;LP 1023;50
Ace;Five-a-side;G-/VG;LP 1024;90
Hank C. Burnette;Don´t mess with my ducktail;VG/VG;LP 1026;90
Bad Company;Fame and Fortune;VG/VG;LP 1027;50
Kevin Rowland;The Wanderer;VG/VG-NM;LP 1028;150
Loving Spoonful;The Loving Spoonful;VG/VG;LP 1029;90
Al Roberts Jr.;Rockabilly Guitar man;VG/VG-NM;LP 1030;90
Swinging Blue Jeans;History of Brittish Pop;VG/VG-NM;LP 1031;120
Ventures;Runnin strong;VG/VG ;LP 1032;150
Runaways;Live in Japan;G/G-VG  (excl. photo);LP 1033;150
Champs;The best of the champs;VG/VG;LP 1034;90
Ghost Nation;Hunters & Collectors;VG/VG-NM;LP 1035;90
Planets;Spot;VG/VG;LP 1036;50
Ronnie Montrose;The speed of sound;G-VG/VG;LP 1037;90
Greifarnir;Dubl I horn;G-VG/VG;LP 1038;90
Various artists; Látúnsbarkarnir;G-VG/VG;LP 1039;250
Pink Floyd;The Dark Side of the Moon;VG/VG-NM;LP 1040;350
John Fogerty;Centerfield;VG-NM/NM;LP 1042;90
Mick Fleetwood;The Visitor;VG-NM/NM;LP 1043;120
Joe Cocker;One night of sin;NM/NM;LP 1044;120
Sting;Nothing like the sun;NM/NM;LP 1045;180
Emerson, Lake &Palmer;In concert;VG-NM/VG-NM;LP 1046;90
Spandau Ballet;Parade;NM/NM;LP 1047;90
UB40;Labour of Love;VG/NM;LP 1048;120
Deep Purple;24 carat Purple;VG/VG-NM;LP 1050;210
Janis Joplin;Greatest Hits;G-VG/VG;LP 1051;180
Suzi Quatro;Quatro;VG/VG-NM;LP 1053;150
Colin Blunstone;Journey;VG-NM/VG-NM;LP 1055;50
Dalbello;She;VG/-G-VG;LP 1058;50
Beach Boys;All summer long;VG/VG-NM;LP 1059;280
Bob Seger;Against the wind;VG-NM/VG;LP 1060;90
Charlie;Lines;VG/VG;LP 1061;90
CCS;CCS;VG-NM/VG-NM;LP 1062;150
Other bright colors;Endlessly Rocks the Cradle;VG-NM/VG;LP 1063;50
Common Bond;Anger into passion;VG-NM/VG;LP 1064;50
Shadowland;The beauty of escaping;VG-NM/NM;LP 1065;50
Mouth & Macneal;How do you do;VG/G-VG;LP 1066;50
Jennifer Rush;Power of love;VG-NM/VG-NM;LP 1068;50
Sniff n the Tears;The Game´s up;G-VG/VG;LP 1070;90
Carol King;Fantasy;VG-NM/VG-NM;LP 1071;120
Dire Straits;Brothers in arms;VG-NM/G;LP 1072;50
Amazulu;Montego Bay;VG-NM/VG-NM;LP 1074;50
Bamses venner;Sådan set;VG-NM/VG-NM;LP 1075;50
Barclay James Harvest;XII;VG/VG;LP 1076;50
David Lindley;Mr Dave;VG/VG;LP 1079;90
Yes;Drama;VG-NM/VG-NM;LP 1080;90
J.J. Cale;Shades;NM/NM;LP 1081;120
Ry Cooder;Bop till you drop;NM/NM;LP 1082;120
Gerry Rafferty;City to City;VG-NM/NM;LP 1084;120
Art Garfunkel;Scissors Cut;NM/NM;LP 1086;90
Devadip;Oneness;VG-NM/NM;LP 1087;120
Rolling Stones;Tattoo You;VG/NM;LP 1088;150
Police;Zenyatta Mondatta;VG-NM/NM;LP 1089;150
Steve Winwood;Roll With it;NM/NM;LP 1090;120
Sting;The Soul Cages;NM/VG-NM (missprint sid 1:5) ;LP 1091;90
Chicago;Chicago 13;VG-NM/NM;LP 1092;120
Randy Crawford;Windsong;NM/NM;LP 1093;90
Robert Palmer;Clues;VG-NM/NM;LP 1096;120
Melanie;Garden in the City;G/VG;LP 1098;50
Elephant´s Memory;Elephant´s Memory;G/G;LP 1099;50
Jerry Harrison;The red and the black;VG/VG;LP 1100;90
Bangles;All over the place;VG/VG;LP 1102;90
Alan Parsons project;Vulture Culture;VG-NM/NM;LP 1104;50
Alan Parsons project;Tales of mystery and imagination EAP;VG/NM;LP 1105;90
Wet Wet Wet;Wishing I was lucky;VG/VG      Maxi single 12”;LP 1107;50
Visitors;Never so Blue;VG/VG     Maxi single 12”;LP 1108;50
Dead or alive;Hooked on love;VG-NM/NM     Maxi single 12”;LP 1109;90
Vaya Con Dios;Night Owls;VG-NM/VG-NM;LP 1110;120
Textones;Midnight Mission;VG/VG;LP 1112;120
Mike Oldfield;Amarok;NM/NM;LP 1114;290
Sanne Salomonsen;Sanne;NM/NM;LP 1115;120
Various artists;20 Oldies Revival Vol1;G/VG;LP 1116;50
Barry White;Let the music play;VG/VG;LP 1117;50
Supertramp;Paris;VG-NM/NM;LP 1119;290
TOTO;The seventh one;NM/NM;LP 1121;120
Kraftwerk;Die Mensch Maschine;VG-NM/VG-NM;LP 1122;650
Steely Dan;Gaucho;VG-NM/NM;LP 1123;290
Ellen Foley;Nightout;VG/VG;LP 1124;50
Mixed Emotions;Exile;VG/VG;LP 1125;50
Various Artists;We are the world;VG/VG;LP 1127;90
Various Artists;American Gigolo;VG/VG;LP 1128;50
John Lennon;The Collection;NM/NM;LP 1129;250
Tom Petty;Long after dark;VG-NM/VG-NM;LP 1131;180
Michael Quatro;Getting´ready;VG/VG;LP 1135;50
Cher;Take me home;VG/VG-NM;LP 1136;120
Roxy Music;Manifesto;VG/VG-NM;LP 1138;90
Roxy Music;Viva! Roxy Music;VG-NM/NM;LP 1139;120
Donald Fagen;The Nightfly;VG/VG-NM;LP 1140;90
Jackson Browne;Lawyers in love;VG-NM/VG-NM;LP 1141;50
Dave Clark Five;The very best of;VG/VG-NM;LP 1142;150
J.Geils Band;Freeze Frame;VG-NM/VG-NM;LP 1143;50
Stevie Wonder;In Square Circle;VG-NM/NM;LP 1146;90
Eric Clapton ;Journeyman;VG-NM/VG-NM;LP 1148;150
Eric Clapton;August;VG-NM/VG-NM;LP 1149;120
Paul McCartney;Flowers in the dirt;NM/NM;LP 1150;150
Paul McCartney;Tug of war;VG/NM;LP 1151;90
Smokie;The Montreux album;VG/VG-NM;LP 1152;90
Smokie;Changing all the time;VG/VG;LP 1153;180
Gary Glitter;Glitter;VG-VG;LP 1154;90
Dr Hook;Sometimes you win;VG-NM/VG-NM;LP 1155;50
Santana;Caravanserai;NM/NM;LP 1156;120
Mike Oldfield;Discovery;NM/VG-NM;LP 1158;90
Mike Oldfield;Five Miles out;VG/G-VG;LP 1159;50
Mike Oldfield;The Killing Fields;NM/NM;LP 1160;90
Mike Oldfield;The Complete Mike Oldfield;NM/NM;LP 1161;250
Blow Monkey;Animal Magic;VG/VG;LP 1162;50
Dr Hook;Pleasure and pain;VG/VG;LP 1163;50
Paul Simon;Hearts and Bones;NM/NM;LP 1164;180
Gloria Gaynor;I´ve got you;NM/NM;LP 1165;90
Smokie;Bright Lights & Back Alley;VG/VG;LP 1167;50
Santana ;Santana (3);VG7VG;LP 1168;120
David Lindley;El Rayo-X;VG-NM/VG-NM;LP 1169;90
David Lindley;Win this record;VG/VG-NM;LP 1170;50
Diana Ross ;The Boss;VG/VG;LP 1171;90
King Bees;The King Bees;VG/VG;LP 1172;50
Beatles;Revolver;VG-NM/VG-NM;LP 1177;250
Beatles;With the Beatles;NM/NM;LP 1178;250
Beatles ;Help;VG/NM;LP 1179;250
Beatles;Rubber Soul;NM/NM;LP 1180;290
Beatles;Let it be;VG/NM;LP 1182;250
Marie et les Garcons;Re-Bop – Attitudes;VG/VG     Maxi single 12”;LP 1183;180
Ronnie Spector;Siren;G-VG/VG;LP 1184;90
Ekseption;00- 04;VG-NM/VG-NM;LP 1185;50
Sebastian;Live;VG/VG-NM;LP 1186;90
Move;The Platinum Collection;VG/VG;LP 1187;120
Mick Jones;Mick Jones;VG/VG-NM;LP 1188;120
Rio ;Borderland;VG/VG;LP 1189;90
Various artists;Sonets Jubileums serie 2. Tio i topp;G-VG/VG;LP 1190;50
Au Pairs;Inconvenience m.fl;VG/VG;LP 1191;90
The Fatback band;Keep on steppin;VG/VG;LP 1192;390
Sweet Charles;For Sweet People;VG/VG;LP 1193;690
Tears for Fears;The seeds of love;VG-NM/VG-NM;LP 1194;180
Rolling Stones;Big hits (high tide and green grass);VG-VG;LP 1195;120
Sex pistols;Never mind the Bollocks;VG/VG-NM;LP 1196;320
Gary Brooker;Lead me to the water;VG/VG-NM;LP 1199;50
Beatles ;A Hard days night;VG/VG;LP 1200;220
High Inergy;Turnin´on;G-VG/VG;LP 1201;50
Beat Feet;One hundred places;G/VG;LP 1203;50
Magnum;The eleventh hour;G-VG/VG;LP 1204;90
Ozzy Ozbourne;Bark at the Moon;VG/VG;LP 1205;220
Lynyrd Skynyrd;Lynyrd Skynyrd´s Greatest Hits;G-VG/VG;LP 1206;150
Santana;Greatest Hits;G/VG;LP 1207;90
Return;Straight down the line;VG-NM/VG;LP 1209;120
Michael Schenker Group;Assault attack;G-VG/G-VG;LP 1210;50
TOTO;Fahrenheit;VG-NM/VG;LP 1211;90
Twenty 4 seven;I can´t stand it;G-VG/VG;LP 1212;50
Feargal Sharkey;Feargal Sharkey;VG/VG;LP 1213;50
Yazoo;You and Me both;VG/VG;LP 1214;120
David Johansen;Live it up?;VG/VG;LP 1215;50
Smokey Robinson;One Heartbeat;VG/VG;LP 1217;90
Human League;Dare;VG/VG;LP 1218;90
Creeps;Blue Tomato;VG/VG-NM;LP 1220;90
SAGA;Saga III;G-VG/VG;LP 1222;50
New Castle;Songlines;VG/NM     12” maxisingel;LP 1223;90
Louise Tucker ;Midnight Blue;VG/VG;LP 1224;50
Paul and Linda McCartney;RAM;VG/VG;LP 1226;250
801;801 live;NM/NM;LP 1227;250
Fleetwood Mac;Heroes are hard to find;VG-NM/NM;LP 1230;150
Steve Miller Band;Book of Dreams;NM/NM;LP 1232;120
Steve Forbert;Little Stevie Orbit;VG/NM;LP 1233;120
Starbuck;Moonlight feels right;VG/NM;LP 1234;90
Robin Trower;Live;NM/NM;LP 1237;180
Weather Report;Heavy Weather;VG/VG-NM;LP 1239;120
Weather Report;Night Passage;VG/VG-NM;LP 1240;120
Tower of Power;Ain´t Nothin´ Stoppin´ Us Now;G-VG/VG;LP 1242;120
Tower of Power;We came to play;VG/VG-NM;LP 1243;120
Chicago;Chicago 16;VG/VG-NM;LP 1244;90
Chicago;Chicago 17;VG/VG-NM;LP 1245;90
Vio-lence;Eternal Nightmare;VG/VG-NM;LP 1246;950
ZZ Top;Eliminator;VG/VG;LP 1249;50
Ratt;Detonator;G-VG/VG-NM;LP 1250;590
Alien;Shiftin´Gear;VG/VG;LP 1252;90
Vinnie Moore;Time Odyssey;VG/VG;LP 1253;90
Jesus Christ Superstar;Original Recording;VG/VG;LLP1256;90
Humble Pie;The Crust of;VG/VG-NM;LLP1257;120
Genesis;Selling England by the pound;NM/VG-NM;LP 1260;250
Sir Lord Baltimore;Kingdom Come;VG-NM/NM;LP 1261;950
Genesis;Invisible Touch;VG/VG;LP 1262;150
Various artists;Harvest Special;VG/VG;LP 1263;90
Kate Bush;The Sensual World;VG-NM/VG-NM;LP 1267;150
King Crimson;USA;NM/NM    (1st press);LP 1273;700
Camel;The Snow Goose;VG/NM    (1st press);LP 1274;280
Camel;Mirage ;VG-NM/NM;LP 1275;480
Diana Ross;Everything is everything;NM/NM;LP 1276;90
Jimi Hendrix;Hendrix in the west;VG-NM/NM;LP 1277;220
Johnny Winter;Captured Live;NM/NM;LP 1278;120
Genesis ;Live;NM/NM;LP 1279;150
Rolling Stones;No Stone unturned;VG/VG;LP 1281;220
Frank Zappa;Sleep Dirt;VG/VG;LP 1282;180
Zappa / Beefheart / Mothers;Bongo Fury;VG-NM/VG-NM;LP 1285;280
Mothers;Just another band from LA;VG-NM/VG;LP 1288;180
Zappa/Mothers;Roxy & Elsewhere;VG-NM/VG-NM;LP 1289;220
HammerFall;Dominion;VG/VG;LP 1290;250
Yes;Tormato;NM/VG-NM;LP 1291;120
Leonard Cohen;Greatest Hits;VG-NM/VG-NM;LP 1294;120
Peter Gabriel;So;VG/VG;LP 1295;120
Sinead O´Connor;I do not want what I haven´t got;VG/VG;LP 1296;90
Pretenders;Learning to crawl;VG/VG;LP 1297;50
R.E.M.;Document;VG/VG;LP 1298;180
Kim Larsen;Jungle Dreams ;NM/NM;LP 1302;180
Electric Light Orchestra;A new world record;NM/NM;LP 1303;180
Traveling Wilburys;Volume one;VG-NM/VG-NM;LP 1306;180
Earth, Wind & Fire;That’s the way of the world;VG/VG;LP 1307;150
Bo Diddley;Bo Diddley;VG/VG;LP 1308;150
Lou Reed;Live;VG/VG;LP 1309;120
Madness;Absolutely;G-VG/VG;LP 1310;90
David Bowie;Aladdin Sane;VG/VG(Lyrics poor);LP 1312;180
ASIA;Alpha;G-VG/VG;LP 1313;90
Janet Jackson;Control;VG/VG;LP 1314;50
Janet Jackson;Rhythm Nation;VG-NM/VG-NM;LP 1315;90
Journey;ESC4P3;VG/VG;LP 1316;180
Journey;Raised on radio;VG/VG;LP 1317;90
Roxy Music;Greatest Hits;VG/VG;LP 1318;50
Beastie Boys;Licenced to Ill;VG/VG;LP 1319;250
Saints;Eternally Yours;VG-NM/VG-NM;LP 1320;280
R.E.M;Out of time;VG/VG;LP 1321;180
R.E.M;Murmur;VG/VG;LP 1322;300
Ananta;Night and Daydream;VG/VG;LLP 1323;50
Impressions ;Its about time;Sealed;LLP 1324;90
Ron Banks And The Dramatics;The Dramatic Jackpot;Sealed;LLP 1325;50
;;;;
Canned Heat;Cook Book, The Best of ;VG-NM/VG-NM;LP 1326;90
Fabulous Thunderbirds;Hot Number;NM/NM;LP 1328;90
R.E.M.;Lifes Rich Pageant;VG/G-VG;LP 1329;120
Fabulous Thunderbirds;T-Bird Rhythm;VG-NM/VG;LP 1330;90
Aerosmith;Done With Mirrors;VG/G-VG;LP 1331;50
Cramps;Bad music for bad people;NM/NM;LP 1332;390
Eddie Cochran;C`mon everybody;VG-NM/VG-NM;LP 1334;50
Skid Row;Skid Row;VG-NM/VG-NM;LP 1335;280
ZZ Top;Afterburner;VG/VG;LP 1336;90
Viva;What the Hell is going on!;VG/G-VG;LP 1337;90
Yngwie J. Malmsteen´s Rising Force;Marching out;VG/VG;LP 1338;120
Kizz;Dynasty;VG/VG;LP 1339;120
Peter Gabriel;Peter Gabriel (1977);NM/NM;LP 1340;180
Peter Gabriel;Peter Gabriel (1978);NM/NM;LP 1341;180
Beatles;Hamburg tapes Volume 1;VG/VG;LP 1342;180
Beatles;Hamburg tapes Volume 3;VG-NM/VG-NM;LP 1343;220
Beatles;The Beatles in Hamburg;NM/NM;LP 1344;220
Uriah Heep;Demons and Wizards;VG/VG;LP 1346;150
Uriah Heep;The Magicians Birthday;VG/VG;LP 1347;120
ZZ Top ;Recycler;VG-NM/NM;LP 1348;180
David Lee Roth;A little ain´t enough;G-VG/VG;LP 1349;150
Backdraft;This Heaven goes to Eleven;VG-NM/NM;LP 1350;180
FM;Indiscreet;VG/VG-NM;LP 1351;120
Electric Light Orchestra;Time;G-VG/G-VG;LP 1352;90
Various artist;Prince New Power Generation;VG/NM;LP 1354;700
Prince;Small Club;G-VG/VG-NM;LP 1355;700
Prince;Just my imagination;VG-NM/VG-NM;LP 1356;400
Prince;He´s got the look;VG-NM/VG-NM;LP 1357;400
Tom Petty;“Let me up…”;VG/VG;LP 1358;120
Beatles;The Beatles 1967-1970;G-VG/G-VG;LP 1359;180
Tom Petty;Southern Accents;VG-NM/VG;LP 1360;150
Bob Dylan;Slow train coming;VG/VG;LP 1361;90
Tom Petty;Hard Promises;VG/VG;LP 1362;150
J.J. Cale;Okie;G-VG/VG-NM;LP 1363;120
J.J. Cale;5;VG/VG;LP 1364;120
J.J. Cale;Shades;G/VG;LP 1365;90
J.J. Cale;Grasshopper;G-VG/VG;LP 1366;90
J.J. Cale;Really;VG/VG;LP 1367;90
Don McLean;American Pie;VG/VG-NM;LP 1368;150
John Lennon/Plastic Ono Band;John Lennon/Plastic Ono Band;VG/VG-NM;LP 1369;220
Yoko Ono;Season of Glass;VG/VG-NM;LP 1371;90
George Harrison;George Harrison;VG/VG;LP 1373;120
George Harrison;Dark Horse;VG-NM/VG-NM;LP 1374;180
George Harrison;All things must pass;VG/NM;LP 1375;280
Fleetwood Mac;The Collection;VG/G-VG;LP 1376;90
Aerosmith;Pump;VG/VG-NM;LP 1377;150
Saxon;Crusader;VG/VG;LP 1378;90
